Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
66,Medical treatment,2007,March,Wednesday,7,Angle,Multi-Vehicle,153.0026462,-27.16018931,Lakewood Dr,Old Bay Rd,,Burpengary East,Moreton Bay Region,4505,Deception Bay,Moreton,North Coast,SEQ North,North Coast,Deception Bay,Narangba - Burpengary,Moreton Bay - North,Major Cities,Bancroft,Petrie,Locally-controlled,Intersection - T-Junction,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,E,0,0,2,0,2,3,0,0,0,0,0,0
67,Property damage only,2007,October,Friday,10,Sideswipe,Multi-Vehicle,148.1567401,-23.5270618,Capricorn Hwy,Gregory Hwy,Gregory Highway (Emerald - Clermont),Emerald,Central Highlands Region,4720,Emerald,Capricornia,Central,Central,Central Queensland,Emerald,Central Highlands (qld),Central Queensland,Outer Regional,Gregory,Flynn,State-controlled,Intersection - T-Junction,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,309,Vehs Same Direction: Left Turn S/Swipe,06: Parallel Lanes Turning,S,0,0,0,0,0,1,0,1,0,0,0,0
68,Property damage only,2007,November,Thursday,6,Hit animal,Other,145.4516395,-17.18206155,Kennedy Hwy,,Kennedy Highway (Mareeba - Ravenshoe),Tolga,Tablelands Region,4882,Atherton,Far North,Far Northern,Northern,North Queensland,Atherton,Tablelands (east) - Kuranda,Cairns,Outer Regional,Hill,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,609,Pass & Misc: Hit Animal,14: Hit Animal,S,0,0,0,0,0,1,0,0,0,0,0,1
69,Medical treatment,2007,October,Thursday,9,Rear-end,Multi-Vehicle,145.7469084,-16.95634697,Bruce Hwy,Rigg St,Bruce Highway (Innisfail - Cairns),Woree,Cairns Region,4868,Cairns,Far North,Far Northern,Northern,North Queensland,Woree,Cairns - South,Cairns,Outer Regional,Mulgrave,Leichhardt,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,302,Vehs Same Direction: Left Rear,04: Rear-end,E,0,0,2,0,2,2,0,0,0,0,0,0
70,Property damage only,2008,July,Wednesday,7,Sideswipe,Multi-Vehicle,152.8987329,-27.60954275,Smiths Rd,,,Goodna,Ipswich City,4300,Goodna,Ipswich,Southern,SEQ South,Metropolitan,Goodna,Springfield - Redbank,Ipswich,Major Cities,Bundamba,Oxley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,306,Vehs Same Direction: Lane Change Right,05: Lane Change,E,0,0,0,0,0,2,0,0,0,0,0,0
71,Property damage only,2008,April,Saturday,18,Angle,Multi-Vehicle,150.5071757,-23.37199069,Bolsover St,Bruce Hwy,Bruce Highway (Rockhampton - St Lawrence),Rockhampton City,Rockhampton Region,4700,Rockhampton,Capricornia,Central,Central,Central Queensland,Rockhampton City,Rockhampton,Central Queensland,Inner Regional,Rockhampton,Capricornia,State-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,W,0,0,0,0,0,2,0,0,0,0,0,0
72,Hospitalisation,2007,December,Wednesday,10,Angle,Multi-Vehicle,145.7619839,-16.91873127,Draper St,Gatton St,,Parramatta Park,Cairns Region,4870,Cairns,Far North,Far Northern,Northern,North Queensland,Cairns City,Cairns - South,Cairns,Outer Regional,Cairns,Leichhardt,Locally-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,E,0,1,0,1,2,2,0,0,0,0,0,0
73,Property damage only,2008,October,Tuesday,15,Rear-end,Multi-Vehicle,151.9320916,-27.56593871,James St,,Toowoomba Connection Road,Newtown,Toowoomba Region,4350,Toowoomba,Darling Downs,Southern,Southern,Southern Queensland,Newtown (qld),Toowoomba,Toowoomba,Inner Regional,Toowoomba North,Groom,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,400,Vehs Manoeuvring: Other,21: Other,N,0,0,0,0,0,2,0,0,0,0,0,0
74,Property damage only,2007,November,Monday,13,Rear-end,Multi-Vehicle,153.1236822,-26.70043339,Kensington Dr,Nicklin Wy,Nicklin Way,Minyama,Sunshine Coast Region,4575,Kawana Waters,Sunshine Coast,North Coast,SEQ North,North Coast,Buddina - Minyama,Caloundra,Sunshine Coast,Major Cities,Kawana,Fisher,State-controlled,Intersection - Cross,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,W,0,0,0,0,0,2,0,0,0,0,0,0
75,Property damage only,2007,March,Saturday,12,Angle,Multi-Vehicle,153.4170874,-27.96731688,Gold Coast Hwy,Marine Pde,,Southport,Gold Coast City,4215,Southport,Gold Coast,South Eastern,SEQ South,South Coast,Southport - North,Southport,Gold Coast,Major Cities,Southport,Moncrieff,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,105,Vehs Adjacent Approach: Right-Right,01: Intersection: Adjacent Approach,E,0,0,0,0,0,2,0,0,0,0,0,0
76,Medical treatment,2007,March,Wednesday,14,Angle,Multi-Vehicle,153.0654676,-27.47539281,Bennetts Rd,,,Norman Park,Brisbane City,4170,Morningside,South Brisbane,Brisbane,SEQ South,Metropolitan,Norman Park,Brisbane Inner - East,Brisbane Inner City,Major Cities,Bulimba,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,308,Vehs Same Direction: Right Turn S/Swipe,06: Parallel Lanes Turning,N,0,0,1,0,1,2,0,0,0,0,0,0
77,Property damage only,2008,June,Friday,5,Rear-end,Multi-Vehicle,150.514381,-23.30450965,Bruce Hwy,,Bruce Highway (Rockhampton - St Lawrence),Parkhurst,Rockhampton Region,4702,North Rockhampton,Capricornia,Central,Central,Central Queensland,Parkhurst - Kawana,Rockhampton,Central Queensland,Inner Regional,Rockhampton,Capricornia,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Fog,Dawn/Dusk,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,S,0,0,0,0,0,3,0,0,0,0,0,0
78,Medical treatment,2007,September,Monday,14,Rear-end,Multi-Vehicle,153.0822402,-27.25947106,Brighton - Redcliffe Rd,,Brighton - Redcliffe Road,Clontarf,Moreton Bay Region,4019,Redcliffe,Moreton,North Coast,SEQ North,North Coast,Clontarf,Redcliffe,Moreton Bay - North,Major Cities,Redcliffe,Petrie,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,S,0,0,1,0,1,3,0,0,0,0,0,0
79,Minor injury,2007,July,Friday,19,Fall from vehicle,Single Vehicle,153.0090069,-27.46735745,Castlemaine St,Milton Rd,,Milton,Brisbane City,4064,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Paddington - Milton,Brisbane Inner - West,Brisbane Inner City,Major Cities,Cooper,Brisbane,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,308,Vehs Same Direction: Right Turn S/Swipe,06: Parallel Lanes Turning,W,0,0,0,1,1,0,1,0,1,0,0,0
80,Minor injury,2008,April,Thursday,14,Hit object,Single Vehicle,153.2742593,-27.96286673,Beaudesert - Nerang Rd,Oxenford - Coomera Gorge Rd,Beaudesert - Nerang Road,Mount Nathan,Gold Coast City,4211,Nerang,Gold Coast,South Eastern,SEQ South,South Coast,Nerang - Mount Nathan,Nerang,Gold Coast,Major Cities,Theodore,Wright,State-controlled,Intersection - T-Junction,Give way sign,70 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,607,Vehs On Path: Temporary Object On Cway,21: Other,S,0,0,0,2,2,0,1,0,0,0,0,0
81,Hospitalisation,2009,February,Saturday,22,Hit pedestrian,Hit pedestrian,153.0050116,-27.43258041,Enoggera Rd,,,Newmarket,Brisbane City,4051,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Newmarket,Brisbane Inner - North,Brisbane Inner City,Major Cities,Ferny Grove,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,003,Pedn: Far Side Vehicle Hit From Left,12: Pedestrian,N,0,1,0,0,1,1,0,0,0,0,1,0
82,Fatal,2008,March,Saturday,9,Angle,Multi-Vehicle,152.9830176,-27.18168393,Old Gympie Rd,,,Burpengary,Moreton Bay Region,4505,Burpengary,Moreton,North Coast,SEQ North,North Coast,Narangba,Narangba - Burpengary,Moreton Bay - North,Major Cities,Kurwongbah,Longman,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,408,Vehs Manoeuvring: Entering From Footway,08: Vehicle Leaving Driveway,S,1,1,0,0,2,1,1,0,0,0,0,0
83,Medical treatment,2007,December,Saturday,21,Hit animal,Other,147.8779795,-20.39684444,Bowen Developmental Rd,,Bowen Developmental Road (Bowen - Collinsville),Bogie,Whitsunday Region,4805,Bowen,Mackay,Central,Central,Central Queensland,Collinsville,Bowen Basin - North,Mackay - Isaac - Whitsunday,Remote,Burdekin,Dawson,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Crest,609,Pass & Misc: Hit Animal,14: Hit Animal,S,0,0,1,0,1,1,0,0,0,0,0,1
84,Minor injury,2007,October,Monday,7,Hit object,Single Vehicle,147.8264696,-20.53409706,Bowen Developmental Rd,,Bowen Developmental Road (Bowen - Collinsville),Springlands,Whitsunday Region,4804,Collinsville,Mackay,Central,Central,Central Queensland,Collinsville,Bowen Basin - North,Mackay - Isaac - Whitsunday,Remote,Burdekin,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,N,0,0,0,1,1,1,0,0,0,0,0,0
85,Hospitalisation,2007,September,Friday,8,Angle,Multi-Vehicle,153.0134994,-27.48734669,Dornoch Tce,Sankey St,,Highgate Hill,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,Highgate Hill,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,E,0,1,0,0,1,1,0,0,0,1,0,0
86,Fatal,2008,March,Monday,19,Hit pedestrian,Hit pedestrian,152.9682525,-26.65287731,Nambour Connection Rd,,Nambour Connection Road,Woombye,Sunshine Coast Region,4559,Nambour,Sunshine Coast,North Coast,SEQ North,North Coast,Nambour,Nambour,Sunshine Coast,Major Cities,Nicklin,Fairfax,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Crest,004,Pedn: Play; Work; Stand; Lie On Cway,12: Pedestrian,S,1,0,0,0,1,1,0,0,0,0,1,0
87,Medical treatment,2008,January,Friday,8,Angle,Multi-Vehicle,149.1508602,-21.18535659,Bruce Hwy,Farrellys Rd,Bruce Highway (St Lawrence - Mackay),Paget,Mackay Region,4740,Mackay,Mackay,Central,Central,Central Queensland,Ooralea - Bakers Creek,Mackay,Mackay - Isaac - Whitsunday,Inner Regional,Mirani,Dawson,State-controlled,Intersection - Cross,Stop sign,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,W,0,0,1,1,2,2,0,0,0,0,0,0
88,Medical treatment,2008,April,Monday,19,Rear-end,Multi-Vehicle,152.0178064,-28.21845396,Cunningham Hwy,William St,Cunningham Highway (Warwick - Inglewood),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,404,Vehs Manoeuvring: Reversing,10: Hit Parked Vehicle,N,0,0,1,0,1,2,0,0,0,0,0,0
89,Property damage only,2007,July,Monday,17,Hit object,Single Vehicle,145.4798565,-17.61922283,Kennedy Hwy,,,Ravenshoe,Tablelands Region,4888,Ravenshoe,Far North,Far Northern,Northern,North Queensland,Herberton,Tablelands (east) - Kuranda,Cairns,Outer Regional,Hill,Kennedy,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Straight,Grade,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,E,0,0,0,0,0,1,0,0,0,0,0,0
90,Fatal,2008,March,Tuesday,6,Overturned,Single Vehicle,145.2521449,-20.66318301,Flinders Hwy,,Flinders Highway (Charters Towers - Hughenden),Pentland,Charters Towers Region,4816,Pentland,Townsville,Northern,Northern,North Queensland,Dalrymple,Charters Towers - Ayr - Ingham,Townsville,Very Remote,Traeger,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,E,1,2,0,0,3,1,0,0,0,0,0,0
91,Property damage only,2007,July,Thursday,9,Angle,Multi-Vehicle,152.9653933,-27.34567547,Old Northern Rd,,Everton Park - Albany Creek Road,Albany Creek,Moreton Bay Region,4035,Albany Creek,North Brisbane,Brisbane,SEQ North,North Coast,Albany Creek,The Hills District,Moreton Bay - South,Major Cities,Everton,Dickson,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,406,Vehs Manoeuvring: Leaving Driveway,08: Vehicle Leaving Driveway,E,0,0,0,0,0,2,0,0,0,0,0,0
92,Medical treatment,2008,December,Wednesday,17,Angle,Multi-Vehicle,145.77052,-16.92886131,Draper St,Spence St,,Parramatta Park,Cairns Region,4870,Cairns,Far North,Far Northern,Northern,North Queensland,Cairns City,Cairns - South,Cairns,Outer Regional,Cairns,Leichhardt,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,W,0,0,1,0,1,1,0,0,0,1,0,0
93,Medical treatment,2007,September,Thursday,14,Rear-end,Multi-Vehicle,153.0566865,-27.36978339,Robinson Rd E,,,Virginia,Brisbane City,4014,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Northgate - Virginia,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
94,Property damage only,2008,December,Monday,23,Hit object,Single Vehicle,147.0462996,-19.43803999,Bruce Hwy,,Bruce Highway (Ayr - Townsville),Cromarty,Burdekin Shire,4809,Giru,Townsville,Northern,Northern,North Queensland,Burdekin,Charters Towers - Ayr - Ingham,Townsville,Outer Regional,Burdekin,Dawson,State-controlled,Bridge/Causeway,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,N,0,0,0,0,0,1,0,0,0,0,0,0
95,Minor injury,2007,December,Friday,14,Sideswipe,Multi-Vehicle,153.342689,-27.95118056,Pacific Hwy,,Pacific Highway (Pacific Motorway),Arundel,Gold Coast City,4214,Nerang,Gold Coast,South Eastern,SEQ South,South Coast,Parkwood,Southport,Gold Coast,Major Cities,Gaven,Fadden,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,S,0,0,0,2,2,2,0,0,0,0,0,0
96,Hospitalisation,2008,January,Sunday,23,Angle,Multi-Vehicle,146.767665,-19.30549267,Anne St,Leopold St,,Aitkenvale,Townsville City,4814,Mundingburra,Townsville,Northern,Northern,North Queensland,Aitkenvale,Townsville,Townsville,Outer Regional,Mundingburra,Herbert,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,500,Vehs Overtaking: Other,21: Other,,0,1,0,0,1,2,0,0,0,0,0,0
97,Medical treatment,2007,July,Wednesday,11,Rear-end,Multi-Vehicle,153.0295718,-27.19674401,Bay Ave,Deception Bay Rd,Deception Bay Road,Deception Bay,Moreton Bay Region,4508,Deception Bay,Moreton,North Coast,SEQ North,North Coast,Deception Bay,Narangba - Burpengary,Moreton Bay - North,Major Cities,Bancroft,Petrie,State-controlled,Intersection - Cross,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,303,Vehs Same Direction: Right Rear,04: Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
98,Property damage only,2007,August,Monday,8,Hit object,Single Vehicle,153.0837161,-26.61488247,Maroochydore - Noosa Rd,Mudjimba Beach Rd,Pacific Paradise Connection Road,Mudjimba,Sunshine Coast Region,4564,Coolum,Sunshine Coast,North Coast,SEQ North,North Coast,Marcoola - Mudjimba,Maroochy,Sunshine Coast,Major Cities,Maroochydore,Fairfax,State-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,N,0,0,0,0,0,1,0,0,0,0,0,0
99,Hospitalisation,2008,March,Monday,18,Overturned,Single Vehicle,151.1454211,-23.96149876,Bruce Hwy,,Bruce Highway (Benaraby - Rockhampton),River Ranch,Gladstone Region,4680,Mount Larcom,Capricornia,Central,Central,Central Queensland,Gladstone Hinterland,Gladstone,Central Queensland,Inner Regional,Gladstone,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,705,Off Path-Straight: Out Of Control On Cway,17: Out of Control on Straight,W,0,1,1,0,2,1,0,0,0,0,0,0
